1,1,1,10,270,40,0,6931.6
2,3,2,44,90,40,1,5479.5
3,3,3,95,270,38,0,5357.3
4,3,1,10,90,40,1,5696.6
5,1,4,119,90,38,1,5541.9
6,1,2,44,270,40,0,5713.8
7,3,4,119,270,38,0,5462.4
8,1,3,95,270,38,1,5453.1
9,3,1,10,270,9999,9999,10000
10,1,4,119,90,38,1,5483.7
11,1,2,44,90,40,0,5473.7
12,3,3,95,270,38,0,5352.7
13,3,4,119,270,40,1,6124
14,3,2,44,90,38,0,5424.1
15,1,3,95,90,40,0,5345
16,1,1,10,90,38,1,5348.5
17,1,3,95,270,40,0,5351.5
18,1,2,44,90,38,1,5466.6
19,3,3,95,270,38,0,5441.5
20,3,2,44,90,40,1,5401.4
21,1,1,10,270,38,1,5378.8
22,1,4,119,90,38,1,5508.7
23,3,4,119,90,38,0,5345.9
24,3,1,10,90,40,1,5613.3
25,1,2,44,270,38,1,5325.7
26,1,3,95,90,38,1,5418.4
27,3,1,10,270,38,0,5410.9
28,3,4,119,270,40,1,5403.3
29,3,2,44,270,38,0,5756.8
30,3,3,95,270,38,0,5456.2
31,1,1,10,90,40,0,5279.1
32,1,4,119,90,38,1,5453.4
