7,1,1,1,1,1,1,26,270,1,67,1,1819
7,1,1,2,2,3,3,88,270,1,67,1,3195
7,1,1,3,1,2,2,44,90,0,78,1,4732.6
7,1,1,4,1,4,4,130,90,1,78,1,5663.9
7,1,1,5,2,1,1,26,270,0,67,1,1150.5
7,1,1,6,1,3,3,88,270,0,67,1,3066.3
7,1,1,7,2,2,2,44,90,1,67,0,1408
7,1,1,8,2,4,4,130,90,0,78,1,3072.8
7,1,2,1,1,5,1,26,270,1,67,1,719.12
7,1,2,2,1,6,2,44,270,0,67,1,1676.2
7,1,2,3,2,7,3,88,270,1,67,1,2434.6
7,1,2,4,1,8,4,130,90,1,78,1,1314
7,1,2,5,2,6,2,44,90,1,78,1,1486.1
7,1,2,6,2,8,4,130,270,0,67,1,1820.6
7,1,2,7,2,5,1,26,90,0,78,1,1477.5
7,1,2,8,1,7,3,88,90,0,78,1,2939.9
7,1,3,1,2,12,4,130,90,0,78,1,2800.2
7,1,3,2,2,9,1,26,90,0,78,1,1337.3
7,1,3,3,1,10,2,44,270,0,67,1,950.18
7,1,3,4,2,11,3,88,90,1,78,1,3417
7,1,3,5,1,9,1,26,90,1,67,0,1088.9
7,1,3,6,2,10,2,44,90,1,78,1,1213.4
7,1,3,7,1,12,4,130,270,1,67,1,1109.9
7,1,3,8,1,11,3,88,90,0,78,1,2411.4
7,1,4,1,2,16,4,130,270,0,67,1,1812.2
7,1,4,2,1,14,2,44,90,0,78,1,1269.3
7,1,4,3,2,13,1,26,270,0,67,1,1364.6
7,1,4,4,2,14,2,44,270,1,78,0,742.52
7,1,4,5,1,16,4,130,270,1,67,1,1457.6
7,1,4,6,1,15,3,88,270,0,67,1,2553.3
7,1,4,7,1,13,1,26,90,1,78,1,1036
7,1,4,8,2,15,3,88,270,1,67,1,1027.7
7,1,5,1,1,17,1,26,270,1,67,1,923.27
7,1,5,2,2,19,3,88,90,1,78,1,1160
7,1,5,3,2,20,4,130,270,0,67,1,1666.3
7,1,5,4,1,18,2,44,90,0,78,1,1161.6
