1,1,4,135,270,38,1,8155.1
2,3,1,15,90,40,1,7046.3
3,1,3,81,90,38,1,6261.3
4,1,1,15,270,38,1,6227.9
5,3,3,81,270,40,1,5683.5
6,1,2,57,270,40,0,5497.8
7,3,4,135,90,38,0,5967.1
8,3,2,57,90,40,1,5497.4
9,3,3,81,270,40,1,5582.7
10,1,4,135,90,40,0,5592.6
11,3,4,135,270,38,0,5522.7
12,3,1,15,270,38,0,5535.4
13,1,1,15,90,38,1,6323.2
14,1,3,81,90,40,0,8880.2
15,3,2,57,90,40,1,5141.3
16,1,2,57,270,38,1,5361.5
17,1,3,81,90,40,0,6019.9
18,3,4,135,90,38,0,5716.5
19,3,1,15,90,40,1,5520.8
20,3,3,81,270,38,0,5445.7
21,3,2,57,90,38,0,5965
22,1,2,57,270,38,1,5559.1
23,1,1,15,90,40,0,5826.1
24,1,4,135,270,38,1,7274.6
25,1,1,15,270,38,1,5512.9
26,3,4,135,270,38,0,5637.6
27,3,3,81,270,38,0,5893.5
28,1,2,57,90,38,1,5634.9
29,1,3,81,90,40,0,5418.5
30,3,2,57,90,38,0,5867.3
31,1,4,135,270,38,1,5657.9
32,3,1,15,270,40,1,5425.1
