1,3,2,64,270,38,0,7054.6
2,1,1,11,270,40,0,6125.8
3,3,1,11,90,38,0,5721.9
4,3,3,88,90,38,0,5494.9
5,1,3,88,90,40,0,5636
6,1,4,119,270,40,0,5388.1
7,3,4,119,270,38,0,5518
8,1,2,64,90,38,1,5450.5
9,1,3,88,90,38,1,5369.9
10,1,4,119,270,40,0,5812.5
11,3,1,11,90,38,0,6053
12,3,3,88,90,38,0,5900.3
13,1,1,11,270,40,0,6081.4
14,1,2,64,90,38,1,5471.3
15,3,4,119,270,40,1,5381.9
16,3,2,64,270,38,0,5607.9
17,1,2,64,90,38,1,5569.1
18,3,2,64,270,40,1,5467.8
19,3,1,11,90,40,1,5362
20,1,4,119,90,40,0,5372.6
21,3,4,119,270,40,1,5351.5
22,1,3,88,90,38,1,5306.9
23,3,3,88,90,38,0,5456.2
24,1,1,11,90,40,0,5359.5
25,3,1,11,270,40,1,5394.7
26,3,4,119,270,38,0,5771.9
27,3,3,88,270,38,0,5454.2
28,1,2,64,270,38,1,5509.7
29,1,3,88,270,38,1,8203.1
30,3,2,64,270,38,0,6492.1
31,1,4,119,90,40,0,7825.9
32,1,1,11,90,38,1,5338.2
