1,1,1,26,270,38,1,8028.7
2,1,2,64,90,40,0,6322.5
3,1,3,95,270,38,1,5915
4,3,3,95,90,38,0,5715.9
5,1,4,119,270,40,0,5341.2
6,3,4,119,90,40,1,5340.6
7,3,2,64,90,40,1,5332.9
8,3,1,26,270,38,0,5291.6
9,3,2,64,90,40,1,5732.9
10,1,1,26,90,38,1,5357.6
11,1,2,64,270,40,0,5628.1
12,1,4,119,270,40,0,5553.3
13,3,1,26,90,38,0,6448.1
14,3,3,95,90,38,0,5707.6
15,3,4,119,270,40,1,5365.1
16,1,3,95,270,40,0,5547
17,1,4,119,270,38,1,6979.4
18,3,1,26,270,40,1,5609.4
19,1,1,26,90,40,0,5383.1
20,3,2,64,90,40,1,5357.7
21,3,4,119,90,40,1,5307.1
22,1,3,95,270,38,1,6228.4
23,3,3,95,90,38,0,5320.6
24,1,2,64,270,38,1,5426.3
25,1,3,95,90,38,1,5454.1
26,1,2,64,270,40,0,5353.5
27,3,3,95,270,38,0,5487.8
28,3,2,64,90,38,0,6633.9
29,3,1,26,270,38,0,5207.5
30,3,4,119,90,40,1,5355.1
31,1,4,119,90,40,0,6066.8
32,1,1,26,270,40,0,6309.2
