"","subj","RT","subj_mean_rt","normRT"
"1","CCC01_1",1581,1585.91065292096,1656.75830932079
"2","CCC01_1",3242,1585.91065292096,3317.75830932079
"3","CCC01_1",4055,1585.91065292096,4130.75830932079
"4","CCC01_1",3516,1585.91065292096,3591.75830932079
"5","CCC01_1",3624,1585.91065292096,3699.75830932079
"6","CCC01_1",3554,1585.91065292096,3629.75830932079
"7","CCC01_1",2308,1585.91065292096,2383.75830932079
"8","CCC01_1",3424,1585.91065292096,3499.75830932079
"9","CCC01_1",2060,1585.91065292096,2135.75830932079
"10","CCC01_1",3924,1585.91065292096,3999.75830932079
"11","CCC01_1",2441,1585.91065292096,2516.75830932079
"12","CCC01_1",3584,1585.91065292096,3659.75830932079
"13","CCC01_1",2177,1585.91065292096,2252.75830932079
"14","CCC01_1",1972,1585.91065292096,2047.75830932079
"15","CCC01_1",3093,1585.91065292096,3168.75830932079
"16","CCC01_1",1629,1585.91065292096,1704.75830932079
"17","CCC01_1",2473,1585.91065292096,2548.75830932079
"18","CCC01_1",3244,1585.91065292096,3319.75830932079
"19","CCC01_1",1386,1585.91065292096,1461.75830932079
"20","CCC01_1",2944,1585.91065292096,3019.75830932079
"21","CCC01_1",1173,1585.91065292096,1248.75830932079
"22","CCC01_1",1974,1585.91065292096,2049.75830932079
"23","CCC01_1",2622,1585.91065292096,2697.75830932079
"24","CCC01_1",3767,1585.91065292096,3842.75830932079
"25","CCC01_1",1850,1585.91065292096,1925.75830932079
"26","CCC01_1",2703,1585.91065292096,2778.75830932079
"27","CCC01_1",2746,1585.91065292096,2821.75830932079
"28","CCC01_1",2429,1585.91065292096,2504.75830932079
"29","CCC01_1",1466,1585.91065292096,1541.75830932079
"30","CCC01_1",2524,1585.91065292096,2599.75830932079
"31","CCC01_1",1356,1585.91065292096,1431.75830932079
"32","CCC01_1",970,1585.91065292096,1045.75830932079
"33","CCC01_1",1504,1585.91065292096,1579.75830932079
"34","CCC01_1",2895,1585.91065292096,2970.75830932079
"35","CCC01_1",3012,1585.91065292096,3087.75830932079
"36","CCC01_1",1245,1585.91065292096,1320.75830932079
"37","CCC01_1",2312,1585.91065292096,2387.75830932079
"38","CCC01_1",2812,1585.91065292096,2887.75830932079
"39","CCC01_1",1274,1585.91065292096,1349.75830932079
"40","CCC01_1",3337,1585.91065292096,3412.75830932079
"41","CCC01_1",2479,1585.91065292096,2554.75830932079
"42","CCC01_1",888,1585.91065292096,963.758309320786
"43","CCC01_1",1144,1585.91065292096,1219.75830932079
"44","CCC01_1",2330,1585.91065292096,2405.75830932079
"45","CCC01_1",2170,1585.91065292096,2245.75830932079
"46","CCC01_1",2521,1585.91065292096,2596.75830932079
"47","CCC01_1",1718,1585.91065292096,1793.75830932079
"48","CCC01_1",3383,1585.91065292096,3458.75830932079
"49","CCC01_1",1482,1585.91065292096,1557.75830932079
"50","CCC01_1",3448,1585.91065292096,3523.75830932079
"51","CCC01_1",3938,1585.91065292096,4013.75830932079
"52","CCC01_1",911,1585.91065292096,986.758309320786
"53","CCC01_1",2223,1585.91065292096,2298.75830932079
"54","CCC01_1",2047,1585.91065292096,2122.75830932079
"55","CCC01_1",716,1585.91065292096,791.758309320786
"56","CCC01_1",3074,1585.91065292096,3149.75830932079
"57","CCC01_1",3997,1585.91065292096,4072.75830932079
"58","CCC01_1",1943,1585.91065292096,2018.75830932079
"59","CCC01_1",1108,1585.91065292096,1183.75830932079
"60","CCC01_1",1677,1585.91065292096,1752.75830932079
"61","CCC01_1",690,1585.91065292096,765.758309320786
