1,14,4,2,53,1,11,90,9999,9999,9999,9999
1,14,5,1,55,3,101,90,9999,78,1,4391
1,14,6,1,56,4,135,90,9999,78,1,1377
1,14,7,2,54,2,65,90,9999,78,1,1900
1,14,8,1,53,1,11,270,9999,67,1,1961
1,15,1,2,58,2,65,90,9999,78,1,1540
1,15,2,1,60,4,135,270,9999,67,1,1545
1,15,3,1,57,1,11,90,9999,78,1,3148
1,15,4,1,58,2,65,90,9999,78,1,2792
1,15,5,2,57,1,11,270,9999,67,1,1874
1,15,6,2,59,3,101,270,9999,67,1,4937
1,15,7,2,60,4,135,90,9999,78,1,1269
1,15,8,1,59,3,101,90,9999,78,1,3268
1,16,1,1,64,4,135,270,9999,67,1,1523
1,16,2,2,62,2,65,90,9999,78,1,2269
1,16,3,2,63,3,101,270,9999,67,1,716
1,16,4,2,61,1,11,90,9999,78,1,705
1,16,5,1,63,3,101,270,9999,67,1,1935
1,16,6,1,62,2,65,270,9999,67,1,1427
1,16,7,1,61,1,11,90,9999,78,1,3827
1,16,8,2,64,4,135,270,9999,67,1,5548
1,17,1,1,65,1,11,270,9999,67,1,3911
1,17,2,1,67,3,101,90,9999,78,1,860
1,17,3,2,68,4,135,90,9999,78,1,1794
1,17,4,1,66,2,65,90,9999,78,1,2052
1,17,5,1,68,4,135,270,9999,67,1,764
1,17,6,2,66,2,65,90,9999,67,0,2223
1,17,7,2,65,1,11,90,9999,78,1,2743
1,17,8,2,67,3,101,270,9999,67,1,4283
1,18,1,2,69,1,11,90,9999,78,1,3776
1,18,2,1,72,4,135,270,9999,67,1,2067
1,18,3,1,71,3,101,270,9999,67,1,706
1,18,4,2,72,4,135,270,9999,67,1,1808
1,18,5,2,70,2,65,270,9999,67,1,1689
1,18,6,2,71,3,101,90,9999,78,1,576
1,18,7,1,70,2,65,270,9999,67,1,1843
1,18,8,1,69,1,11,90,9999,78,1,571
1,19,1,2,76,4,135,270,9999,67,1,1398
1,19,2,2,73,1,11,90,9999,78,1,2336
1,19,3,1,76,4,135,270,9999,67,1,1300
1,19,4,1,75,3,101,90,9999,78,1,1858
1,19,5,1,74,2,65,270,9999,67,1,3001
1,19,6,2,75,3,101,270,9999,78,0,1427
1,19,7,2,74,2,65,270,9999,67,1,1979
1,19,8,1,73,1,11,90,9999,78,1,3637
1,20,1,1,79,3,101,270,9999,67,1,869
1,20,2,2,78,2,65,90,9999,78,1,1036
1,20,3,2,77,1,11,90,9999,78,1,3397
1,20,4,1,80,4,135,90,9999,78,1,1462
1,20,5,1,78,2,65,90,9999,78,1,1509
1,20,6,2,79,3,101,90,9999,78,1,755
1,20,7,2,80,4,135,270,9999,67,1,1823
1,20,8,1,77,1,11,270,9999,67,1,1912
1,21,1,2,82,2,65,270,9999,67,1,1363
1,21,2,4,81,1,11,270,9999,67,1,1925
1,21,3,2,84,4,135,90,9999,78,1,1609
1,21,4,4,82,2,65,90,9999,78,1,962
1,21,5,4,83,3,101,270,9999,78,0,1405
1,21,6,1,81,1,11,90,9999,78,1,1884
1,21,7,1,82,2,65,90,9999,78,1,1570
1,21,8,2,83,3,101,270,9999,67,1,708
1,21,9,3,81,1,11,270,9999,67,1,2305
1,21,10,3,82,2,65,90,9999,78,1,1766
1,21,11,4,84,4,135,270,9999,67,1,984
1,21,12,1,83,3,101,270,9999,67,1,681
1,21,13,3,84,4,135,90,9999,78,1,1495
1,21,14,2,81,1,11,90,9999,78,1,1092
1,21,15,1,84,4,135,270,9999,67,1,1026
1,21,16,3,83,3,101,90,9999,78,1,730
1,22,1,3,85,1,11,90,9999,78,1,2030
1,22,2,2,86,2,65,270,9999,67,1,2086
1,22,3,3,87,3,101,270,9999,67,1,1451
1,22,4,4,88,4,135,90,9999,78,1,1490
1,22,5,1,87,3,101,90,9999,78,1,711
1,22,6,3,86,2,65,270,9999,67,1,1580
